City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,east london,-33.0153,27.9116,24.52000000000004,73,0,7.72,ZA,1675161504
125,lhokseumawe,5.1801,97.1507,25.760000000000048,88,69,3.52,ID,1675161504
126,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.669999999999959,62,40,4.0,RU,1675161504
127,porosozero,62.7191,32.727,-2.8100000000000023,93,100,4.7,RU,1675161505
128,puerto colombia,10.9878,-74.9547,23.05000000000001,81,13,7.89,CO,1675161506
129,tuatapere,-46.1333,167.6833,16.930000000000007,94,100,0.99,NZ,1675161506
130,bani,18.2833,-70.3333,22.700000000000045,73,68,4.58,DO,1675161506
131,sungaipenuh,-2.0833,101.3833,20.370000000000005,96,100,0.81,ID,1675161507
132,khuchni,41.9499,47.9485,3.1000000000000227,81,98,1.59,RU,1675161507
133,ashcroft,50.7165,-121.2859,-5.849999999999966,96,100,0.41,CA,1675161508
134,khandbari,27.3747,87.2039,23.25,34,0,2.49,NP,1675161508
135,faanui,-16.4833,-151.75,27.27000000000004,77,15,6.54,PF,1675161509
136,luderitz,-26.6481,15.1594,21.49000000000001,63,14,4.7,NA,1675161509
137,tortosa,40.8125,0.5216,15.140000000000043,40,1,4.31,ES,1675161510
138,pangnirtung,66.1451,-65.7125,-36.289999999999964,96,95,2.51,CA,1675161510
139,nelson bay,-32.7167,152.15,23.890000000000043,84,57,4.92,AU,1675161510
140,palmeirais,-5.9778,-43.0633,26.760000000000048,70,100,0.72,BR,1675161511
141,taltal,-25.4,-70.4833,18.700000000000045,80,10,0.4,CL,1675161511
142,lebu,-37.6167,-73.65,13.420000000000016,65,15,8.96,CL,1675161512
143,lahaina,20.8783,-156.6825,22.110000000000014,87,75,2.37,US,1675161512
144,olga,43.7444,135.2892,-11.019999999999982,88,100,1.72,RU,1675161513
145,fairbanks,64.8378,-147.7164,-7.0,86,100,2.57,US,1675161424
146,arraial do cabo,-22.9661,-42.0278,25.920000000000016,69,0,7.2,BR,1675161513
147,quatre cocos,-20.2078,57.7625,30.060000000000002,68,100,2.86,MU,1675161514
148,katsuura,35.1333,140.3,5.410000000000025,66,99,3.07,JP,1675161515
149,moose factory,51.2585,-80.6094,-29.99999999999997,69,0,4.63,CA,1675161515
150,provideniya,64.3833,-173.3,-6.949999999999989,89,88,1.14,RU,1675161516
151,fuerte olimpo,-21.0415,-57.8738,23.30000000000001,95,95,1.46,PY,1675161516
152,kavieng,-2.5744,150.7967,27.720000000000027,73,95,2.27,PG,1675161517
